,Year,Region,Accommodation,Administrative and Support Services,Agriculture,Construction,Education and Training,"Electricity, Gas, Water, and Waste services",Financial and Insurance Services,Food and beverage services,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services","Forestry, Fishing, and Mining","GST on Production, Import Duties and Other Taxes",Gross Domestic Product,Health Care and Social Assistance,"Information Media, Telecommunications and Other Services",Manufacturing,Other Manufacturing,Owner-Occupied Property Operation,Primary Manufacturing,"Professional, Scientific, and Technical Services",Public Administration and Safety,"Rental, Hiring and Real Estate Services",Retail Trade,Total,Total All Industries,"Transport, Postal and Warehousing",Wholesale Trade,Population
33,2001,Waikato,63.0,85.0,1482.0,477.0,503.0,507.0,223.0,118.0,981.0,474.0,714.0,10426.0,498.0,540.0,1517.0,464.0,734.0,1054.0,349.0,286.0,606.0,438.0,28300.0,9712.0,355.0,458.0,368400.0
34,2001,Wellington,104.0,366.0,194.0,572.0,618.0,453.0,1620.0,193.0,530.0,76.0,1197.0,17447.0,696.0,2269.0,1869.0,713.0,1085.0,1155.0,1858.0,1608.0,727.0,579.0,39733.0,16250.0,604.0,758.0,439100.0
35,2001,West Coast,11.0,8.0,110.0,40.0,29.0,,18.0,21.0,103.0,,54.0,788.0,39.0,28.0,111.0,13.0,51.0,98.0,15.0,25.0,28.0,37.0,25181.0,734.0,42.0,19.0,31300.0
36,2002,Auckland,278.0,1030.0,235.0,1810.0,1652.0,899.0,2646.0,509.0,1094.0,196.0,3048.0,44888.0,1997.0,4030.0,7233.0,3168.0,3153.0,4065.0,3877.0,1097.0,2986.0,2277.0,36276.0,41840.0,2074.0,3863.0,1237400.0
37,2002,Bay of Plenty,51.0,104.0,597.0,340.0,238.0,124.0,147.0,94.0,469.0,345.0,454.0,6693.0,349.0,258.0,1142.0,245.0,506.0,897.0,297.0,166.0,402.0,362.0,26890.0,6238.0,400.0,316.0,248900.0
38,2002,Canterbury,138.0,295.0,1079.0,713.0,688.0,272.0,453.0,253.0,510.0,238.0,1005.0,14800.0,846.0,1029.0,2349.0,1121.0,1106.0,1228.0,758.0,456.0,815.0,770.0,29500.0,13795.0,756.0,782.0,501700.0
39,2002,Gisborne,7.0,13.0,140.0,61.0,58.0,16.0,12.0,13.0,122.0,105.0,72.0,1058.0,69.0,41.0,106.0,22.0,67.0,84.0,36.0,38.0,58.0,55.0,23257.0,986.0,63.0,29.0,45500.0
40,2002,Hawke's Bay,22.0,61.0,530.0,177.0,140.0,40.0,77.0,40.0,200.0,159.0,283.0,4165.0,206.0,119.0,1028.0,168.0,265.0,860.0,152.0,117.0,212.0,196.0,28139.0,3882.0,193.0,149.0,148000.0
41,2002,Manawatu-Whanganui,38.0,67.0,726.0,286.0,396.0,200.0,137.0,69.0,318.0,119.0,395.0,5816.0,357.0,260.0,694.0,256.0,400.0,438.0,236.0,390.0,296.0,327.0,25543.0,5421.0,199.0,223.0,227700.0
42,2002,Marlborough,10.0,10.0,134.0,58.0,32.0,,19.0,19.0,122.0,,83.0,1218.0,41.0,37.0,264.0,54.0,91.0,211.0,25.0,51.0,81.0,58.0,29709.0,1135.0,59.0,24.0,41000.0
