Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
RNAA.SG01NAC34B0121CCA,2012.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Primary Manufacturing,,
RNAA.SG01NAC34B0121CCA,2013.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Primary Manufacturing,,
RNAA.SG01NAC34B0121CCA,2014.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Primary Manufacturing,,
RNAA.SG01NAC34B0121CCA,2015.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Primary Manufacturing,,
RNAA.SG01NAC34B0121CCA,2016.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Primary Manufacturing,,
RNAA.SG01NAC34B0121CCA,2017.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Primary Manufacturing,,
RNAA.SG01NAC34B0121CCA,2018.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Primary Manufacturing,,
RNAA.SG01NAC34B0121CCA,2019.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Primary Manufacturing,,
RNAA.SG01NAC34B0121CCA,2020.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Primary Manufacturing,,
RNAA.SG01NAC34B0121CCA,2021.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Primary Manufacturing,,
RNAA.SG01NAC34B0121CCA,2022.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Primary Manufacturing,,
RNAA.SG01NAC34B0121CCC,2000.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Other Manufacturing,,
RNAA.SG01NAC34B0121CCC,2001.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Other Manufacturing,,
RNAA.SG01NAC34B0121CCC,2002.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Other Manufacturing,,
RNAA.SG01NAC34B0121CCC,2003.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Other Manufacturing,,
RNAA.SG01NAC34B0121CCC,2004.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Other Manufacturing,,
RNAA.SG01NAC34B0121CCC,2005.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Other Manufacturing,,
RNAA.SG01NAC34B0121CCC,2006.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Other Manufacturing,,
RNAA.SG01NAC34B0121CCC,2007.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Other Manufacturing,,
RNAA.SG01NAC34B0121CCC,2008.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Other Manufacturing,,
RNAA.SG01NAC34B0121CCC,2009.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Other Manufacturing,,
RNAA.SG01NAC34B0121CCC,2010.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Other Manufacturing,,
RNAA.SG01NAC34B0121CCC,2011.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Other Manufacturing,,
RNAA.SG01NAC34B0121CCC,2012.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Other Manufacturing,,
RNAA.SG01NAC34B0121CCC,2013.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Other Manufacturing,,
RNAA.SG01NAC34B0121CCC,2014.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Other Manufacturing,,
RNAA.SG01NAC34B0121CCC,2015.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Other Manufacturing,,
RNAA.SG01NAC34B0121CCC,2016.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Other Manufacturing,,
RNAA.SG01NAC34B0121CCC,2017.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Other Manufacturing,,
RNAA.SG01NAC34B0121CCC,2018.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Other Manufacturing,,
RNAA.SG01NAC34B0121CCC,2019.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Other Manufacturing,,
RNAA.SG01NAC34B0121CCC,2020.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Other Manufacturing,,
RNAA.SG01NAC34B0121CCC,2021.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Other Manufacturing,,
RNAA.SG01NAC34B0121CCC,2022.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Other Manufacturing,,
RNAA.SG01NAC34B0121CCZ,2000.03,13700,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Manufacturing,,
RNAA.SG01NAC34B0121CCZ,2001.03,14461,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Manufacturing,,
RNAA.SG01NAC34B0121CCZ,2002.03,15250,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Manufacturing,,
RNAA.SG01NAC34B0121CCZ,2003.03,16357,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Manufacturing,,
RNAA.SG01NAC34B0121CCZ,2004.03,16560,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Manufacturing,,
RNAA.SG01NAC34B0121CCZ,2005.03,17614,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Manufacturing,,
RNAA.SG01NAC34B0121CCZ,2006.03,18475,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Manufacturing,,
RNAA.SG01NAC34B0121CCZ,2007.03,17761,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Manufacturing,,
RNAA.SG01NAC34B0121CCZ,2008.03,17715,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Manufacturing,,
RNAA.SG01NAC34B0121CCZ,2009.03,17798,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Manufacturing,,
RNAA.SG01NAC34B0121CCZ,2010.03,15849,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Manufacturing,,
RNAA.SG01NAC34B0121CCZ,2011.03,16737,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Manufacturing,,
RNAA.SG01NAC34B0121CCZ,2012.03,17730,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Manufacturing,,
